id;name;type
3202030014;KADALEMAN;Desa
3202030018;KADEMANGAN;Desa
3202190005;KADUDAMPIT;Desa
3202270004;KADUNUNGGAL;Desa
3202270003;KALAPANUNGGAL;Desa
3202220005;KALAPAREA;Desa
3202050003;KALIBUNDER;Desa
3202040014;KARANGANYAR;Desa
3202160005;KARANGJAYA;Desa
3202041005;KARANGMEKAR;Desa
3202290004;KARANGPAPAK;Desa
3202210010;KARANGTENGAH;Desa
3202180005;KARAWANG;Desa
3202201002;KEBONMANGGU;Desa
3202171004;KEBONPEDES;Desa
3202150003;KERTAANGSANA;Desa
3202111002;KERTAJAYA;Desa
3202120013;KERTAMUKTI;Desa
3202140004;KERTARAHARJA;Desa
3202260010;KOMPA;Desa
3202230013;KUTAJAYA;Desa
3202200015;KUTASIRNA;Desa
3202170017;LANGENSARI;Desa
3202260008;LANGENSARI;Desa
3202100001;LANGKAPJAYA;Desa
3202090007;LEMBURSAWAH;Desa
3202211006;LEMBURSAWAH;Desa
3202100003;LENGKONG;Desa
3202170016;LIMBANGAN;Desa
3202121005;LIMUSNUNGGAL;Desa
3202111003;LOJI;Desa
3202270005;MAKASARI;Desa
3202010007;MANDRAJAYA;Desa
3202201007;MANGKALAYA;Desa
3202021006;MANGUNJAYA;Desa
3202121004;MANGUNJAYA;Desa
3202291006;MARGALAKSANA;Desa
3202080011;MARGALUYU;Desa
3202131003;MARGALUYU;Desa
3202170021;MARGALUYU;Desa
3202021004;MEKAR MUKTI;Desa
3202111006;MEKARASIH;Desa
3202010004;MEKARJAYA;Desa
3202040004;MEKARJAYA;Desa
3202070002;MEKARJAYA;Desa
3202120012;MEKARJAYA;Desa
3202212002;MEKARJAYA;Desa
3202300001;MEKARJAYA;Desa
3202280004;MEKARNANGKA;Desa
3202010008;MEKARSAKTI;Desa
3202020006;MEKARSARI;Desa
3202080020;MEKARSARI;Desa
3202150004;MEKARSARI;Desa
3202230001;MEKARSARI;Desa
3202081006;MEKARTANI;Desa
3202082005;MEKARTANJUNG;Desa
3202050007;MEKARWANGI;Desa
3202190001;MUARADUA;Desa
3202221001;MUNJUL;Desa
3202200012;NAGRAK;Desa
3202220003;NAGRAK SELATAN;Desa
3202220004;NAGRAK UTARA;Desa
3202082007;NAGRAKJAYA;Desa
3202040005;NAGRAKSARI;Desa
3202060006;NANGELA;Desa
3202130011;NANGERANG;Desa
3202230010;NANGGERANG;Desa
3202280007;NANGKAKONENG;Desa
3202100005;NEGLASARI;Desa
3202131001;NEGLASARI;Desa
3202150009;NEGLASARI;Desa
3202210001;NEGLASARI;Desa
3202150002;NYALINDUNG;Desa
3202230002;NYANGKOWEK;Desa
3202090003;PABUARAN;Desa
3202200007;PADAASIH;Desa
3202130018;PADABEUNGHAR;Desa
3202040008;PADAJAYA;Desa
3202081003;PADASENANG;Desa
3202131005;PAGELARAN;Desa
3202270002;PALASARI GIRANG;Desa
3202260002;PALASARI HILIR;Desa
3202210014;PAMURUYAN;Desa
3202280008;PANGKALAN;Desa
3202020007;PANGUMBAHAN;Desa
3202130015;PANUMBANGAN;Desa
3202140003;PARAKANLIMA;Desa
3202250006;PARAKANSALAK;Desa
3202260004;PARUNGKUDA;Desa
3202180001;PARUNGSEAH;Desa
3202080007;PASANGGRAHAN;Desa
3202230008;PASAWAHAN;Desa
3202290001;PASIRBARU;Desa
3202212009;PASIRDATAR INDAH;Desa
3202240002;PASIRDOTON;Desa
3202170012;PASIRHALANG;Desa
3202030001;PASIRIPIS;Desa
3202020005;PASIRPANJANG;Desa
3202110011;PASIRSUREN;Desa
3202220009;PAWENANG;Desa
3202180006;PERBAWATI;Desa
3202260011;PONDOK KASO LANDEUH;Desa
3202240001;PONDOK KASO TENGAH;Desa
3202240003;PONDOK KASO TONGGOH;Desa
3202173002;PRIANGANJAYA;Desa
3202270007;PULOSARI;Desa
3202080019;PUNCAKMANGGIS;Desa
3202131004;PURABAYA;Desa
3202230003;PURWASARI;Desa
3202020003;PURWASEDAR;Desa
3202060005;RAMBAY;Desa
3202291005;RIDOGALIH;Desa
3202080010;SAGARANTEN;Desa
3202280001;SAMPORA;Desa
3202111007;SANGRAWAYANG;Desa
3202171001;SASAGARAN;Desa
3202050002;SEKARSARI;Desa
3202210003;SEKARWANGI;Desa
3202170018;SELAAWI;Desa
3202200016;SELAJAMBE;Desa
3202170011;SELAWANGI;Desa
3202173001;SEMPLAK;Desa
3202212006;SEUSEUPAN;Desa
3202010009;SIDAMULYA;Desa
3202080005;SINAR BENTANG;Desa
3202082004;SINDANGRAJA;Desa
3202130016;SINDANGRESMI;Desa
3202120004;SIRNAJAYA;Desa
3202060008;SIRNAMEKAR;Desa
